Date,Volume,Adj Close
01/07/2009,58361000,10.91
02/07/2009,101602100,10.54
06/07/2009,87431400,10.55
07/07/2009,97188400,10.38
08/07/2009,201559200,10.21
09/07/2009,130616100,10.34
10/07/2009,95642000,10.2
13/07/2009,225954000,10.85
14/07/2009,158618300,10.8
15/07/2009,181051200,11.26
16/07/2009,120107200,11.23
17/07/2009,140736100,11.15
20/07/2009,110157800,11.25
21/07/2009,127436600,11.14
22/07/2009,100001200,11.15
23/07/2009,127235500,11.47
24/07/2009,72556900,11.41
27/07/2009,92187600,11.59
28/07/2009,59879700,11.57
29/07/2009,101352000,11.57
30/07/2009,131440800,11.83
31/07/2009,131304500,11.95
03/08/2009,115174600,12.26
04/08/2009,100067400,12.5
05/08/2009,166752400,12.94
06/08/2009,236090800,12.84
07/08/2009,189311700,13.18
10/08/2009,95172500,13.13
11/08/2009,128063900,12.64
12/08/2009,104443800,12.9
13/08/2009,135032700,13.17
14/08/2009,108375800,13.08
17/08/2009,114958300,12.53
18/08/2009,80944400,12.79
19/08/2009,78189300,12.78
20/08/2009,90379800,13.11
21/08/2009,109165200,13.37
24/08/2009,123944600,13.27
25/08/2009,94502700,13.43
26/08/2009,92601600,13.4
27/08/2009,81468600,13.53
28/08/2009,80673900,13.55
31/08/2009,82427000,13.51
01/09/2009,190683000,12.78
02/09/2009,105551000,12.67
03/09/2009,79194300,12.92
04/09/2009,72525900,13.06
08/09/2009,80722800,13.12
09/09/2009,90447900,13.32
10/09/2009,92799000,13.43
11/09/2009,65355000,13.35
14/09/2009,72237500,13.52
15/09/2009,104880900,13.55
16/09/2009,124769400,14.02
17/09/2009,112051200,13.97
18/09/2009,91318900,13.95
21/09/2009,84148900,13.82
22/09/2009,85974200,14.14
23/09/2009,108925100,13.85
24/09/2009,132643500,13.57
25/09/2009,116761200,13.45
28/09/2009,78472300,13.9
29/09/2009,103304400,13.83
30/09/2009,146228200,13.77
01/10/2009,127953800,13.16
02/10/2009,129144900,13.17
05/10/2009,98918600,13.58
06/10/2009,127550200,13.76
07/10/2009,98050600,13.91
08/10/2009,91480400,13.93
09/10/2009,59981900,14.04
12/10/2009,74446200,14.16
13/10/2009,74360000,14.02
14/10/2009,133604300,14.5
15/10/2009,83700800,14.37
16/10/2009,112730800,14.03
19/10/2009,92781700,14.09
20/10/2009,106737500,13.98
21/10/2009,85970500,13.71
22/10/2009,120608200,14.12
23/10/2009,88400500,13.92
26/10/2009,121534200,13.56
27/10/2009,101820800,13.46
28/10/2009,117811800,13.04
29/10/2009,119656100,13.58
30/10/2009,137136500,12.95
02/11/2009,170068100,13.06
03/11/2009,109677600,13.1
04/11/2009,127484900,12.91
05/11/2009,104675000,13.24
06/11/2009,73969900,13.19
09/11/2009,100149400,13.66
10/11/2009,70454200,13.61
11/11/2009,100267100,13.8
12/11/2009,91634000,13.54
13/11/2009,74826200,13.51
16/11/2009,121913500,13.66
17/11/2009,57214100,13.69
18/11/2009,73591400,13.81
19/11/2009,77823000,13.54
20/11/2009,52981100,13.46
23/11/2009,74092800,13.65
24/11/2009,61152700,13.55
25/11/2009,44088000,13.52
27/11/2009,75812800,13.16
30/11/2009,101068200,13.51
01/12/2009,86724000,13.52
02/12/2009,62142900,13.51
03/12/2009,166865500,13.23
04/12/2009,195547200,13.48
07/12/2009,81169100,13.26
08/12/2009,108623700,13.14
09/12/2009,73624400,13.19
10/12/2009,70036700,13.17
11/12/2009,66020300,13.26
14/12/2009,59275300,13.34
15/12/2009,85600000,13.12
16/12/2009,91024600,13.21
17/12/2009,92100400,12.96
18/12/2009,94469500,13.15
21/12/2009,58191600,13.35
22/12/2009,26107600,13.38
23/12/2009,38581000,13.32
24/12/2009,18267900,13.44
28/12/2009,29491400,13.39
29/12/2009,26358900,13.34
30/12/2009,28841100,13.35
31/12/2009,33244100,13.32
